# reflectivities in 2nd order
# use Cr as top material, Sc as bottom
# Gamma = 0.4, interdiffusion thickness = 0.33 nm, 150 periods
# polarization 0
# Energy	peak eff.	ML period
# (keV)       ---          (nm)
0.264	0.0080	6.5
0.295	0.0090	6.0
0.316	0.0100	5.6
0.340	0.0115	5.2
0.353	0.0130	5.0
0.375	0.0165	4.7
0.391	0.026	4.5
0.420	0.0017	4.2
0.465	0.0013	3.8
0.490	0.00084	3.6
0.595	0.00011	2.95
0.650	9.0e-5	2.7
0.765	6.8e-5	2.3

40deg graze angle
0.301	0.0104	6.5
0.325	0.0140	6.0
0.348	0.0140	5.6
0.374	0.0195	5.2
0.388	0.028	5.0
0.395	0.042	4.9
0.422	0.00220	4.6
0.430	0.00225	4.5
0.462	0.00175	4.2
0.510	0.00080	3.8
0.528	0.00039	3.6
0.552	0.00038	3.5
0.568	0.00140	3.4
0.625	0.00015	3.1
0.690	0.00014	2.8
0.775	0.00013	2.5

50deg
0.253	0.0070	6.5
0.274	0.0074	6.0
0.291	0.0080	5.6
0.314	0.0092	5.2
0.327	0.0098	5.0
0.362	0.0123	4.5
0.386	0.0187	4.2
0.392	0.0227	4.15
0.400	0.0119	4.05
0.418	0.0016	3.8
0.452	0.00118	3.6
0.465	0.00103	3.5
0.478	0.00078	3.4
0.524	0.00028	3.1
0.568	0.00068	2.85
0.640	6e-5	2.5
