# Made up on 2/11/16 using W/B4C (improved), C/CrCo, La/B4C
lambda	R	M	Frac.width
# From here starts W/B4C A12112
       1.2300   0.00000004      1.00000    0.0365655
       9.2300   0.00133704      1.00000    0.0365655
      29.2300   0.00133704      1.00000    0.0365655
# here starts predicted performance of Rigaku's Cr/Sc
	31.2	0.176	1	0.02
	32.4	0.102	1	0.02
	33.8	0.091	1	0.02
	36.5	0.086	1	0.02
	39.3	0.087	1	0.02
	42.0	0.087	1	0.02
	44.7	0.085	1	0.02
# From here starts C/CoCr A13165
      44.7460    0.0783584      1.00000    0.0202253
      45.8190    0.0784572      1.00000    0.0207338
      46.9060    0.0788921      1.00000    0.0212766
      47.9980    0.0801644      1.00000    0.0216676
      49.0950    0.0816838      1.00000    0.0219574
      50.1930    0.0831715      1.00000    0.0224135
      51.2900    0.0836963      1.00000    0.0229674
      52.3900    0.0841644      1.00000    0.0234205
      53.4810    0.0851000      1.00000    0.0237281
      54.5650    0.0854850      1.00000    0.0241730
      55.6380    0.0859276      1.00000    0.0245516
      56.7000    0.0861427      1.00000    0.0250265
      57.7590    0.0864483      1.00000    0.0255025
      58.7950    0.0862397      1.00000    0.0260396
      59.8260    0.0868884      1.00000    0.0264099
      60.8370    0.0862022      1.00000    0.0270723
      61.8510    0.0855124      1.00000    0.0279058
      62.8640    0.0867611      1.00000    0.0281719
      63.8640    0.0863610      1.00000    0.0287642
      64.8340    0.0866439      1.00000    0.0290280
      65.7860    0.0859797      1.00000    0.0300976
# From here starts La/B4C A14080
      66.5630    0.0991810      1.00000    0.0208224
      67.3860    0.0933317      1.00000    0.0239367
      68.2610    0.0926134      1.00000    0.0239668
      69.1320    0.0936396      1.00000    0.0236649
      69.9980    0.0960511      1.00000    0.0234007
      70.8650    0.0986166      1.00000    0.0232978
      71.7040     0.100720      1.00000    0.0232484
      72.5500     0.102003      1.00000    0.0234459
      73.3810     0.102721      1.00000    0.0234938
75. 0.1 1. .023
80. 0.1 1. .023
85. 0.05 1., .023
100. 0.01 1. .023
150. 0.00001 1. .01
