# Made up on 3/08/18 using W/B4C (improved), C/CrCo, La/B4C, CXRO's Cr/Sc
# was ml_refl_2017_withCrSc_width.txt
lambda	R	M	Frac.width
# From here starts W/B4C A12112
       1.2300   0.00000004      1.00000    0.0365655
       9.2300   0.00133704      1.00000    0.0365655
      29.2300   0.00133704      1.00000    0.0365655
# here starts predicted performance of CXRO's Cr/Sc
      30.9800    0.0327835      1.00000   0.00903809
      31.0000    0.0496392      1.00000   0.00838710
      31.0500    0.0786082      1.00000   0.00676329
      31.1000     0.139381      1.00000   0.00514469
      31.1300     0.182268      1.00000   0.00481850
      31.1800     0.178247      1.00000   0.00577293
      31.2500     0.161649      1.00000   0.00704000
      31.3500     0.148814      1.00000   0.00733652
      31.4500     0.137887      1.00000   0.00731320
      31.5500     0.128814      1.00000   0.00760697
      31.6500     0.122010      1.00000   0.00758294
      31.7500     0.115876      1.00000   0.00755906
      31.8500     0.110722      1.00000   0.00753532
      31.9800     0.106340      1.00000   0.00750469
      32.0800     0.102938      1.00000   0.00748130
      32.1800    0.0993299      1.00000   0.00776880
      32.3000    0.0970103      1.00000   0.00773994
      32.4000    0.0940722      1.00000   0.00771605
      32.5300    0.0923196      1.00000   0.00768521
      32.6500    0.0895361      1.00000   0.00765697
      32.7500    0.0882474      1.00000   0.00763359
      33.3000    0.0821649      1.00000   0.00780781
      33.9000    0.0777835      1.00000   0.00796460
      34.5500    0.0770619      1.00000   0.00781476
      35.2000    0.0744845      1.00000   0.00823864
      35.8000    0.0732474      1.00000   0.00810056
      36.4500    0.0724742      1.00000   0.00850480
      37.1500    0.0724227      1.00000   0.00861373
      37.8000    0.0718557      1.00000   0.00873016
      38.4500    0.0710309      1.00000   0.00910273
      39.1500    0.0715979      1.00000   0.00945083
      39.8000    0.0709278      1.00000   0.00979900
      40.4500    0.0693814      1.00000    0.0103832
      41.1500    0.0690206      1.00000    0.0106926
      41.7500    0.0674742      1.00000    0.0112575
      42.4000    0.0664433      1.00000    0.0117925
      43.0000    0.0679897      1.00000    0.0125581
      43.6000    0.0707732      1.00000    0.0123853
      44.2000    0.0725258      1.00000    0.0124434
# model made from CXRO web page, match to CXRO's data on LGML
55.5	0.065	1.0	0.018
68.6	0.056	1.0	0.030
81.5	0.050	1.0	0.043
85. 0.05 1., .023
100. 0.01 1. .023
150. 0.00001 1. .01
