# %ECSV 0.9
# ---
# datatype:
# - {name: energy, unit: keV, datatype: float64}
# - {name: qe, datatype: float64, description: bare QE assuming BI type CCD}
# meta: !!omap
# - keywords: !!omap
#   - {Author: Eric Miller}
#   - {ORIGFILE: arcus_qe_trans_20171207.txt}
#   - {Description: "QE of Suzaku XIS1 BI CCD from CALDB file ae_xi1_quanteff_20120428.fits,\
#       \ assumes depletion depth 42 microns (see Koyama et al. 2007)"}
#   - {Update: Updated for 10-15 keV from file arcus_qe_trans_20200417.txt}
# schema: astropy-2.0
energy qe
0.2 0.81192
0.20157 0.81268
0.20316 0.81346
0.20476 0.8142
0.20637 0.81491
0.208 0.81564
0.20963 0.81642
0.21128 0.81722
0.21295 0.81802
0.21462 0.81885
0.21631 0.81969
0.21801 0.82054
0.21973 0.82138
0.22146 0.82223
0.2232 0.8231
0.22496 0.82391
0.22673 0.82475
0.22851 0.82559
0.23031 0.82639
0.23212 0.82717
0.23395 0.82794
0.23579 0.8287
0.23765 0.82944
0.23952 0.83018
0.2414 0.83094
0.2433 0.83172
0.24522 0.83245
0.24715 0.83313
0.24909 0.83388
0.25105 0.83467
0.25303 0.83541
0.25502 0.83615
0.25703 0.8369
0.25905 0.83765
0.26109 0.83841
0.26315 0.83913
0.26522 0.83983
0.2673 0.84053
0.26941 0.8412
0.27153 0.84189
0.27367 0.84256
0.27582 0.84322
0.27799 0.84392
0.28018 0.84463
0.28238 0.84532
0.28461 0.84599
0.28685 0.84677
0.2891 0.84767
0.29138 0.84859
0.29367 0.84948
0.29598 0.85038
0.29831 0.85133
0.30066 0.85225
0.30303 0.85322
0.30541 0.85426
0.30782 0.85531
0.31024 0.8563
0.31268 0.85728
0.31514 0.85823
0.31762 0.85918
0.32012 0.86013
0.32264 0.86099
0.32518 0.86187
0.32774 0.86273
0.33032 0.86358
0.33292 0.86444
0.33554 0.86528
0.33818 0.8661
0.34084 0.86689
0.34352 0.86766
0.34623 0.86839
0.34895 0.86914
0.3517 0.86988
0.35447 0.87058
0.35726 0.87125
0.36007 0.87181
0.3629 0.87243
0.36576 0.87305
0.36864 0.87365
0.37154 0.87423
0.37446 0.87479
0.37741 0.87524
0.38038 0.87559
0.38338 0.87586
0.38639 0.87599
0.38943 0.87602
0.3925 0.87589
0.39559 0.87571
0.3987 0.87548
0.40184 0.87525
0.405 0.87502
0.40819 0.87479
0.4114 0.8746
0.41464 0.87441
0.4179 0.87426
0.42119 0.87417
0.42451 0.87421
0.42785 0.8743
0.43122 0.87446
0.43461 0.87467
0.43803 0.87502
0.44148 0.8754
0.44495 0.87569
0.44846 0.87605
0.45198 0.87641
0.45554 0.87679
0.45913 0.87722
0.46274 0.87767
0.46638 0.87815
0.47005 0.87859
0.47375 0.87908
0.47748 0.87962
0.48124 0.8801
0.48503 0.8806
0.48885 0.88117
0.49269 0.88175
0.49657 0.88234
0.50048 0.88295
0.50442 0.88351
0.50839 0.88407
0.51239 0.88464
0.51642 0.8851
0.52049 0.88558
0.52458 0.88605
0.52871 0.88651
0.53287 0.88577
0.53707 0.87782
0.54129 0.87942
0.54555 0.86483
0.54985 0.86656
0.55418 0.86678
0.55854 0.86659
0.56293 0.86668
0.56736 0.86836
0.57183 0.86995
0.57633 0.87143
0.58087 0.87248
0.58544 0.8735
0.59005 0.87452
0.59469 0.87551
0.59937 0.87649
0.60409 0.87732
0.60884 0.87811
0.61363 0.87905
0.61846 0.88004
0.62333 0.88102
0.62824 0.882
0.63318 0.88305
0.63816 0.8841
0.64319 0.88516
0.64825 0.8862
0.65335 0.88723
0.65849 0.88826
0.66368 0.88927
0.6689 0.89025
0.67416 0.89119
0.67947 0.89211
0.68482 0.89299
0.69021 0.89384
0.69564 0.89467
0.70112 0.89549
0.70663 0.89634
0.7122 0.89718
0.7178 0.89803
0.72345 0.89888
0.72914 0.89977
0.73488 0.90066
0.74067 0.90154
0.7465 0.90241
0.75237 0.90326
0.75829 0.90409
0.76426 0.9049
0.77028 0.90569
0.77634 0.90648
0.78245 0.90727
0.78861 0.90807
0.79481 0.90887
0.80107 0.90968
0.80738 0.91049
0.81373 0.91128
0.82013 0.91206
0.82659 0.91282
0.83309 0.91354
0.83965 0.91424
0.84626 0.91494
0.85292 0.91562
0.85963 0.91629
0.8664 0.91697
0.87322 0.91767
0.88009 0.91836
0.88702 0.91905
0.894 0.91972
0.90104 0.92039
0.90813 0.92104
0.91527 0.92167
0.92248 0.92229
0.92974 0.9229
0.93706 0.9235
0.94443 0.9241
0.95186 0.92468
0.95936 0.92527
0.96691 0.92585
0.97452 0.92641
0.98219 0.92697
0.98992 0.92752
0.99771 0.92806
1.00556 0.92859
1.01348 0.92912
1.02145 0.92964
1.02949 0.93017
1.03759 0.93068
1.04576 0.93119
1.05399 0.93169
1.06229 0.93218
1.07065 0.93267
1.07907 0.93314
1.08757 0.93361
1.09613 0.93407
1.10475 0.93453
1.11345 0.93497
1.12221 0.93541
1.13104 0.93584
1.13995 0.93626
1.14892 0.93668
1.15796 0.93709
1.16707 0.93749
1.17626 0.93788
1.18552 0.93827
1.19485 0.93864
1.20425 0.93902
1.21373 0.93938
1.22328 0.93974
1.23291 0.94009
1.24262 0.94043
1.2524 0.94076
1.26225 0.94109
1.27219 0.94141
1.2822 0.94171
1.29229 0.94202
1.30246 0.94231
1.31271 0.94259
1.32304 0.94285
1.33346 0.94311
1.34395 0.94336
1.35453 0.94359
1.36519 0.94381
1.37594 0.94401
1.38677 0.9442
1.39768 0.94437
1.40868 0.94452
1.41977 0.94465
1.43094 0.94476
1.4422 0.94485
1.45356 0.94491
1.465 0.94494
1.47653 0.94494
1.48815 0.94492
1.49986 0.94486
1.51166 0.94476
1.52356 0.94461
1.53555 0.94443
1.54764 0.94419
1.55982 0.94391
1.5721 0.94356
1.58447 0.94317
1.59694 0.9427
1.60951 0.94218
1.62218 0.94158
1.63494 0.94091
1.64781 0.94016
1.66078 0.93507
1.67385 0.91413
1.68703 0.91361
1.7003 0.91298
1.71369 0.91227
1.72717 0.91143
1.74077 0.91047
1.75447 0.90938
1.76828 0.90818
1.78219 0.90636
1.79622 0.90279
1.81036 0.89948
1.82461 0.89667
1.83897 0.93286
1.85344 0.93226
1.86803 0.93275
1.88273 0.93377
1.89755 0.93427
1.91248 0.93471
1.92754 0.9351
1.94271 0.93561
1.958 0.93612
1.97341 0.93663
1.98894 0.9371
2.00459 0.93754
2.02037 0.93796
2.03627 0.93838
2.0523 0.9388
2.06845 0.93922
2.08473 0.93964
2.10114 0.94005
2.11768 0.93766
2.13434 0.93811
2.15114 0.93855
2.16807 0.93897
2.18514 0.93939
2.20233 0.9398
2.21967 0.94021
2.23714 0.9406
2.25475 0.941
2.27249 0.94138
2.29038 0.94176
2.3084 0.94213
2.32657 0.94249
2.34488 0.94284
2.36334 0.9431
2.38194 0.94251
2.40069 0.94286
2.41958 0.9432
2.43863 0.94354
2.45782 0.94387
2.47716 0.94419
2.49666 0.94451
2.51631 0.94482
2.53611 0.94513
2.55607 0.94543
2.57619 0.94572
2.59647 0.94601
2.6169 0.9456
2.6375 0.94589
2.65826 0.94618
2.67918 0.94646
2.70027 0.94674
2.72152 0.94701
2.74294 0.94728
2.76453 0.94754
2.78629 0.94779
2.80822 0.94804
2.83032 0.94829
2.85259 0.94853
2.87505 0.94876
2.89767 0.94899
2.92048 0.94922
2.94347 0.94944
2.96663 0.94966
2.98998 0.94987
3.01351 0.95007
3.03723 0.95028
3.06114 0.95047
3.08523 0.95066
3.10951 0.95085
3.13399 0.95103
3.15865 0.9512
3.18351 0.95137
3.20857 0.95153
3.23382 0.95169
3.25927 0.95183
3.28493 0.95197
3.31078 0.9521
3.33684 0.95222
3.3631 0.95147
3.38957 0.95159
3.41625 0.95169
3.44314 0.95178
3.47023 0.95186
3.49755 0.95192
3.52507 0.95155
3.55282 0.95158
3.58078 0.95159
3.60896 0.95157
3.63737 0.95153
3.666 0.95147
3.69485 0.95137
3.72393 0.95125
3.75324 0.95108
3.78278 0.95088
3.81255 0.95046
3.84256 0.95018
3.8728 0.94986
3.90328 0.94948
3.934 0.94904
3.96497 0.94856
3.99617 0.94802
4.02763 0.94741
4.05932 0.94673
4.09127 0.94598
4.12347 0.94514
4.15593 0.94421
4.18864 0.94324
4.2216 0.94217
4.25483 0.941
4.28832 0.9397
4.32207 0.93837
4.35609 0.93691
4.39037 0.93531
4.42493 0.93361
4.45975 0.93185
4.49485 0.9299
4.53023 0.92784
4.56589 0.92567
4.60182 0.92339
4.63804 0.9209
4.67454 0.91839
4.71134 0.91572
4.74842 0.91288
4.78579 0.90992
4.82346 0.90674
4.86142 0.90344
4.89968 0.90003
4.93824 0.89649
4.97711 0.89271
5.01628 0.88886
5.05576 0.88481
5.09556 0.8806
5.13566 0.87633
5.17608 0.87189
5.21682 0.86717
5.25788 0.86244
5.29926 0.8577
5.34097 0.85269
5.383 0.84732
5.42537 0.84194
5.46807 0.83648
5.51111 0.83085
5.55448 0.82498
5.5982 0.81902
5.64226 0.81297
5.68667 0.80682
5.73143 0.80057
5.77654 0.7941
5.822 0.7878
5.86782 0.78139
5.91401 0.77471
5.96055 0.76769
6.00746 0.76057
6.05475 0.75333
6.1024 0.74616
6.15043 0.73925
6.19884 0.732
6.24763 0.72445
6.2968 0.71708
6.34636 0.70991
6.39631 0.70247
6.44665 0.69467
6.49739 0.68659
6.54853 0.67863
6.60007 0.67107
6.65201 0.66317
6.70437 0.65496
6.75713 0.64713
6.81032 0.63957
6.86392 0.63177
6.91794 0.6236
6.97239 0.61557
7.02726 0.60759
7.08257 0.59961
7.13832 0.59161
7.1945 0.5836
7.25112 0.5756
7.30819 0.56763
7.36571 0.55969
7.42368 0.55173
7.48211 0.5438
7.541 0.5359
7.60035 0.52804
7.66017 0.52022
7.72046 0.5124
7.78123 0.50464
7.84247 0.49692
7.90419 0.48926
7.9664 0.48162
8.0291 0.47403
8.0923 0.4665
8.15599 0.45903
8.22018 0.45163
8.28487 0.44425
8.35008 0.43694
8.4158 0.42971
8.48204 0.42255
8.5488 0.41544
8.61608 0.40838
8.68389 0.40141
8.75224 0.39451
8.82113 0.3877
8.89055 0.38093
8.96053 0.37424
9.03105 0.36762
9.10213 0.3611
9.17377 0.35465
9.24597 0.34825
9.31874 0.34195
9.39208 0.33572
9.466 0.32959
9.54051 0.32351
9.6156 0.31722
9.69128 0.31132
9.76755 0.30551
9.84443 0.29978
9.92191 0.29412
10.0 0.28856
10.005 0.28822
10.010 0.28787
10.015 0.28752
10.020 0.28717
10.025 0.28682
10.030 0.28648
10.035 0.28613
10.040 0.28579
10.045 0.28545
10.050 0.28510
10.055 0.28475
10.060 0.28440
10.065 0.28405
10.070 0.28370
10.075 0.28335
10.080 0.28301
10.085 0.28266
10.090 0.28232
10.095 0.28197
10.100 0.28163
10.105 0.28129
10.110 0.28095
10.115 0.28061
10.120 0.28027
10.125 0.27993
10.130 0.27959
10.135 0.27925
10.140 0.27892
10.145 0.27858
10.150 0.27824
10.155 0.27791
10.160 0.27757
10.165 0.27723
10.170 0.27690
10.175 0.27656
10.180 0.27623
10.185 0.27590
10.190 0.27556
10.195 0.27523
10.200 0.27490
10.205 0.27457
10.210 0.27424
10.215 0.27392
10.220 0.27359
10.225 0.27326
10.230 0.27294
10.235 0.27261
10.240 0.27229
10.245 0.27196
10.250 0.27164
10.255 0.27130
10.260 0.27096
10.265 0.27062
10.270 0.27028
10.275 0.26994
10.280 0.26960
10.285 0.26927
10.290 0.26893
10.295 0.26859
10.300 0.26826
10.305 0.26793
10.310 0.26759
10.315 0.26726
10.320 0.26693
10.325 0.26660
10.330 0.26627
10.335 0.26594
10.340 0.26562
10.345 0.26529
10.350 0.26496
10.355 0.26464
10.360 0.26433
10.365 0.26401
10.370 0.26370
10.375 0.26338
10.380 0.26307
10.385 0.26276
10.390 0.26245
10.395 0.26213
10.400 0.26182
10.405 0.26151
10.410 0.26121
10.415 0.26090
10.420 0.26059
10.425 0.26028
10.430 0.25998
10.435 0.25967
10.440 0.25937
10.445 0.25907
10.450 0.25876
10.455 0.25846
10.460 0.25815
10.465 0.25784
10.470 0.25753
10.475 0.25723
10.480 0.25692
10.485 0.25661
10.490 0.25631
10.495 0.25600
10.500 0.25570
10.505 0.25539
10.510 0.25509
10.515 0.25479
10.520 0.25448
10.525 0.25418
10.530 0.25388
10.535 0.25358
10.540 0.25328
10.545 0.25299
10.550 0.25269
10.555 0.25239
10.560 0.25210
10.565 0.25180
10.570 0.25149
10.575 0.25119
10.580 0.25089
10.585 0.25059
10.590 0.25029
10.595 0.24999
10.600 0.24969
10.605 0.24939
10.610 0.24909
10.615 0.24880
10.620 0.24850
10.625 0.24820
10.630 0.24791
10.635 0.24761
10.640 0.24732
10.645 0.24703
10.650 0.24674
10.655 0.24645
10.660 0.24615
10.665 0.24587
10.670 0.24557
10.675 0.24527
10.680 0.24497
10.685 0.24467
10.690 0.24436
10.695 0.24406
10.700 0.24377
10.705 0.24347
10.710 0.24317
10.715 0.24287
10.720 0.24258
10.725 0.24228
10.730 0.24199
10.735 0.24169
10.740 0.24132
10.745 0.24100
10.750 0.24071
10.755 0.24042
10.760 0.24013
10.765 0.23984
10.770 0.23955
10.775 0.23926
10.780 0.23898
10.785 0.23869
10.790 0.23841
10.795 0.23813
10.800 0.23785
10.805 0.23757
10.810 0.23729
10.815 0.23701
10.820 0.23673
10.825 0.23645
10.830 0.23618
10.835 0.23590
10.840 0.23563
10.845 0.23535
10.850 0.23508
10.855 0.23480
10.860 0.23453
10.865 0.23426
10.870 0.23398
10.875 0.23371
10.880 0.23344
10.885 0.23317
10.890 0.23289
10.895 0.23262
10.900 0.23234
10.905 0.23206
10.910 0.23179
10.915 0.23151
10.920 0.23124
10.925 0.23096
10.930 0.23069
10.935 0.23042
10.940 0.23015
10.945 0.22987
10.950 0.22960
10.955 0.22933
10.960 0.22906
10.965 0.22879
10.970 0.22853
10.975 0.22826
10.980 0.22799
10.985 0.22773
10.990 0.22746
10.995 0.22719
11.000 0.22693
11.005 0.22667
11.010 0.22641
11.015 0.22615
11.020 0.22588
11.025 0.22562
11.030 0.22536
11.035 0.22511
11.040 0.22485
11.045 0.22459
11.050 0.22433
11.055 0.22408
11.060 0.22382
11.065 0.22356
11.070 0.22331
11.075 0.22305
11.080 0.22280
11.085 0.22255
11.090 0.22230
11.095 0.22204
11.100 0.22179
11.105 0.22154
11.110 0.22128
11.115 0.22101
11.120 0.22075
11.125 0.22049
11.130 0.22022
11.135 0.21996
11.140 0.21970
11.145 0.21944
11.150 0.21918
11.155 0.21892
11.160 0.21866
11.165 0.21840
11.170 0.21815
11.175 0.21789
11.180 0.21763
11.185 0.21738
11.190 0.21712
11.195 0.21687
11.200 0.21661
11.205 0.21636
11.210 0.21611
11.215 0.21585
11.220 0.21560
11.225 0.21536
11.230 0.21511
11.235 0.21486
11.240 0.21461
11.245 0.21436
11.250 0.21412
11.255 0.21387
11.260 0.21363
11.265 0.21338
11.270 0.21313
11.275 0.21285
11.280 0.21261
11.285 0.21237
11.290 0.21212
11.295 0.21188
11.300 0.21164
11.305 0.21140
11.310 0.21116
11.315 0.21092
11.320 0.21069
11.325 0.21045
11.330 0.21021
11.335 0.20996
11.340 0.20971
11.345 0.20946
11.350 0.20921
11.355 0.20896
11.360 0.20871
11.365 0.20847
11.370 0.20822
11.375 0.20797
11.380 0.20773
11.385 0.20748
11.390 0.20724
11.395 0.20699
11.400 0.20675
11.405 0.20651
11.410 0.20627
11.415 0.20602
11.420 0.20578
11.425 0.20554
11.430 0.20530
11.435 0.20506
11.440 0.20482
11.445 0.20459
11.450 0.20435
11.455 0.20412
11.460 0.20388
11.465 0.20365
11.470 0.20341
11.475 0.20318
11.480 0.20295
11.485 0.20272
11.490 0.20249
11.495 0.20225
11.500 0.20202
11.505 0.20179
11.510 0.20157
11.515 0.20134
11.520 0.20111
11.525 0.20088
11.530 0.20065
11.535 0.20043
11.540 0.20020
11.545 0.19998
11.550 0.19975
11.555 0.19953
11.560 0.19930
11.565 0.19908
11.570 0.19886
11.575 0.19864
11.580 0.19842
11.585 0.19821
11.590 0.19799
11.595 0.19777
11.600 0.19755
11.605 0.19734
11.610 0.19712
11.615 0.19690
11.620 0.19669
11.625 0.19647
11.630 0.19626
11.635 0.19605
11.640 0.19583
11.645 0.19562
11.650 0.19541
11.655 0.19520
11.660 0.19499
11.665 0.19477
11.670 0.19456
11.675 0.19435
11.680 0.19413
11.685 0.19391
11.690 0.19369
11.695 0.19347
11.700 0.19325
11.705 0.19303
11.710 0.19281
11.715 0.19259
11.720 0.19238
11.725 0.19216
11.730 0.19194
11.735 0.19173
11.740 0.19151
11.745 0.19129
11.750 0.19108
11.755 0.19086
11.760 0.19065
11.765 0.19044
11.770 0.19022
11.775 0.19001
11.780 0.18980
11.785 0.18959
11.790 0.18938
11.795 0.18916
11.800 0.18894
11.805 0.18872
11.810 0.18849
11.815 0.18827
11.820 0.18805
11.825 0.18783
11.830 0.18761
11.835 0.18739
11.840 0.18717
11.845 0.18695
11.850 0.18674
11.855 0.18652
11.860 0.18630
11.865 0.18609
11.870 0.18587
11.875 0.18565
11.880 0.18544
11.885 0.18523
11.890 0.18501
11.895 0.18480
11.900 0.18459
11.905 0.18437
11.910 0.18416
11.915 0.18395
11.920 0.18374
11.925 0.18354
11.930 0.18333
11.935 0.18312
11.940 0.18292
11.945 0.18271
11.950 0.18251
11.955 0.18230
11.960 0.18210
11.965 0.18189
11.970 0.18169
11.975 0.18149
11.980 0.18129
11.985 0.18108
11.990 0.18088
11.995 0.18068
12.000 0.18048
12.005 0.18028
12.010 0.18008
12.015 0.17988
12.020 0.17968
12.025 0.17948
12.030 0.17929
12.035 0.17909
12.040 0.17890
12.045 0.17871
12.050 0.17851
12.055 0.17832
12.060 0.17813
12.065 0.17794
12.070 0.17775
12.075 0.17756
12.080 0.17737
12.085 0.17718
12.090 0.17699
12.095 0.17681
12.100 0.17662
12.105 0.17643
12.110 0.17624
12.115 0.17606
12.120 0.17587
12.125 0.17568
12.130 0.17550
12.135 0.17531
12.140 0.17513
12.145 0.17494
12.150 0.17476
12.155 0.17457
12.160 0.17438
12.165 0.17418
12.170 0.17399
12.175 0.17380
12.180 0.17360
12.185 0.17341
12.190 0.17322
12.195 0.17303
12.200 0.17284
12.205 0.17265
12.210 0.17246
12.215 0.17227
12.220 0.17208
12.225 0.17189
12.230 0.17170
12.235 0.17151
12.240 0.17133
12.245 0.17114
12.250 0.17095
12.255 0.17077
12.260 0.17058
12.265 0.17039
12.270 0.17021
12.275 0.17002
12.280 0.16983
12.285 0.16964
12.290 0.16944
12.295 0.16925
12.300 0.16905
12.305 0.16886
12.310 0.16866
12.315 0.16847
12.320 0.16828
12.325 0.16809
12.330 0.16790
12.335 0.16771
12.340 0.16751
12.345 0.16732
12.350 0.16714
12.355 0.16695
12.360 0.16676
12.365 0.16657
12.370 0.16638
12.375 0.16619
12.380 0.16601
12.385 0.16582
12.390 0.16563
12.395 0.16545
12.400 0.16526
12.405 0.16508
12.410 0.16490
12.415 0.16472
12.420 0.16454
12.425 0.16436
12.430 0.16418
12.435 0.16400
12.440 0.16383
12.445 0.16365
12.450 0.16347
12.455 0.16329
12.460 0.16312
12.465 0.16294
12.470 0.16277
12.475 0.16259
12.480 0.16241
12.485 0.16224
12.490 0.16207
12.495 0.16189
12.500 0.16172
